iter	Logloss
0	0.6826598262
1	0.6724771501
2	0.6667881591
3	0.6611188365
4	0.6575994525
5	0.6544699225
6	0.6515653165
7	0.6484282707
8	0.6459779798
9	0.6440334938
10	0.6421744716
11	0.6400758997
12	0.6388080913
13	0.6369509872
14	0.6358620461
15	0.6341938989
16	0.6311470943
17	0.6292661037
18	0.6276414548
19	0.6262333429
20	0.624498891
21	0.6236481739
22	0.6224510563
23	0.6204552332
24	0.6192549838
25	0.6180403967
26	0.6167654715
27	0.6153852519
28	0.6144651031
29	0.6134069449
30	0.6126069903
31	0.6109875887
32	0.6100854201
33	0.6087455208
34	0.6080309043
35	0.6067071332
36	0.6053268079
37	0.6039618464
38	0.6027597573
39	0.6015413949
40	0.6005713156
41	0.5998022368
42	0.5988993426
43	0.598207874
44	0.5972625888
45	0.5963376089
46	0.5956112318
47	0.5947923685
48	0.5939059679
49	0.5931529049
50	0.5926212032
51	0.5910926575
52	0.5904080784
53	0.5894332855
54	0.5880512848
55	0.5870953099
56	0.5850632499
57	0.5838310001
58	0.5819155241
59	0.5805755696
60	0.5796144671
61	0.5789502209
62	0.5781364518
63	0.5771842419
64	0.5765085102
65	0.5752944435
66	0.574611682
67	0.5738984346
68	0.5733802023
69	0.5723786589
70	0.5713502003
71	0.5702347049
72	0.5691294989
73	0.5683169557
74	0.5677646416
75	0.5670852045
76	0.5665901229
77	0.5659223108
78	0.5655084503
79	0.5645730764
80	0.5635870485
81	0.5626243337
82	0.5617781037
83	0.5609828941
84	0.5594820032
85	0.5586169919
86	0.5577095052
87	0.557148796
88	0.5567781255
89	0.5560499241
90	0.5556271661
91	0.5549010865
92	0.5543728173
93	0.5538978698
94	0.5535043178
95	0.5528766767
96	0.5523202265
97	0.5512445827
98	0.5509334168
99	0.5499258868
