iter	Passed	Remaining
0	3277	324450
1	6229	305266
2	9007	291235
3	11612	278697
4	13489	256297
5	16068	251736
6	18610	247260
7	20798	239177
8	22915	231704
9	25090	225812
10	27381	221539
11	30023	220171
12	32999	220841
13	34982	214890
14	36997	209652
15	39117	205365
16	41044	200394
17	43171	196671
18	45287	193069
19	47028	188114
20	48944	184122
21	50877	180383
22	53179	178037
23	55441	175564
24	57495	172487
25	59642	169750
26	61448	166139
27	63223	162574
28	65120	159432
29	67118	156610
30	69072	153741
31	71033	150946
32	73250	148720
33	75354	146277
34	77255	143474
35	79062	140555
36	81188	138239
37	83260	135846
38	85509	133745
39	87616	131424
40	89800	129224
41	91902	126913
42	94268	124959
43	96294	122556
44	98279	120118
45	100349	117801
46	102295	115354
47	104284	112975
48	106158	110491
49	108246	108246
50	110485	106152
51	112603	103942
52	114850	101848
53	116956	99629
54	118886	97270
55	120848	94952
56	122713	92573
57	124662	90273
58	126798	88114
59	128725	85817
60	130928	83708
61	132978	81502
62	134987	79278
63	137329	77247
64	139874	75317
65	142477	73397
66	144602	71222
67	146874	69117
68	148800	66852
69	150830	64641
70	152926	62462
71	155006	60280
72	156984	58062
73	159062	55886
74	161406	53802
75	163468	51621
76	165783	49519
77	167811	47331
78	170020	45195
79	171841	42960
80	173908	40793
81	175744	38578
82	177853	36427
83	179759	34239
84	181767	32076
85	183737	29910
86	185783	27760
87	187793	25608
88	190304	23520
89	192278	21364
90	194611	19247
91	196508	17087
92	198602	14948
93	200679	12809
94	202951	10681
95	205057	8544
96	207103	6405
97	209060	4266
98	210994	2131
99	212993	0
